Episode: 93, Reward: -200.0, Max Position: -0.233, Epsilon: 0.63198, Q-value: -2.839372216165066
Episode: 94, Reward: -200.0, Max Position: -0.268, Epsilon: 0.62798, Q-value: -2.542416135817766
Episode: 95, Reward: -200.0, Max Position: -0.388, Epsilon: 0.62398, Q-value: -13.361731981039048
Episode: 96, Reward: -200.0, Max Position: -0.254, Epsilon: 0.61998, Q-value: -3.860650985240936
Episode: 97, Reward: -200.0, Max Position: -0.364, Epsilon: 0.61598, Q-value: -13.281234317366033
Episode: 98, Reward: -57.0, Max Position: 0.162, Epsilon: 0.61198, Q-value: 14.083665718212723
Episode: 99, Reward: -200.0, Max Position: -0.290, Epsilon: 0.60798, Q-value: -2.9597900174558163
Episode: 100, Reward: -200.0, Max Position: -0.332, Epsilon: 0.60398, Q-value: -9.121160262227058
Episode: 101, Reward: -200.0, Max Position: -0.389, Epsilon: 0.59998, Q-value: -14.283860379457474
Episode: 102, Reward: -200.0, Max Position: -0.026, Epsilon: 0.59598, Q-value: -1.2457309243828059
Episode: 103, Reward: -200.0, Max Position: -0.170, Epsilon: 0.59198, Q-value: -2.4956092184782026
Episode: 104, Reward: -200.0, Max Position: -0.413, Epsilon: 0.58798, Q-value: -14.678232342600822
Episode: 105, Reward: -200.0, Max Position: -0.288, Epsilon: 0.58398, Q-value: -8.33512235045433
Episode: 106, Reward: -200.0, Max Position: -0.114, Epsilon: 0.57998, Q-value: 1.3684159728884697
Episode: 107, Reward: -200.0, Max Position: -0.349, Epsilon: 0.57598, Q-value: -11.31855748521164
Episode: 108, Reward: -200.0, Max Position: 0.028, Epsilon: 0.57198, Q-value: 7.874222747199237
Episode: 109, Reward: -200.0, Max Position: -0.347, Epsilon: 0.56798, Q-value: -12.342726252302528
Episode: 110, Reward: -200.0, Max Position: -0.237, Epsilon: 0.56398, Q-value: -8.032441391535103
Episode: 111, Reward: -200.0, Max Position: -0.140, Epsilon: 0.55998, Q-value: -0.9119876602292061
Episode: 112, Reward: -200.0, Max Position: -0.126, Epsilon: 0.55598, Q-value: 7.715811661928893
Episode: 113, Reward: -200.0, Max Position: -0.103, Epsilon: 0.55198, Q-value: 7.671571545898915
Episode: 114, Reward: -200.0, Max Position: 0.037, Epsilon: 0.54798, Q-value: 7.189719859063626
Episode: 115, Reward: -200.0, Max Position: -0.361, Epsilon: 0.54398, Q-value: -13.249015600085258
Episode: 116, Reward: -200.0, Max Position: -0.198, Epsilon: 0.53998, Q-value: -4.691290950998664
Episode: 117, Reward: -200.0, Max Position: -0.173, Epsilon: 0.53598, Q-value: -2.7056342989206312
Episode: 118, Reward: -200.0, Max Position: -0.317, Epsilon: 0.53198, Q-value: -7.774640663117171
Episode: 119, Reward: -200.0, Max Position: -0.390, Epsilon: 0.52798, Q-value: -17.01404478788376
Episode: 120, Reward: -145.0, Max Position: 0.283, Epsilon: 0.52398, Q-value: 19.772962905168534
Episode: 121, Reward: -200.0, Max Position: -0.098, Epsilon: 0.51998, Q-value: 8.973260064721108
Episode: 122, Reward: -200.0, Max Position: -0.346, Epsilon: 0.51598, Q-value: -12.45307104177773
Episode: 123, Reward: -200.0, Max Position: -0.300, Epsilon: 0.51198, Q-value: -9.260268287807703
Episode: 124, Reward: -200.0, Max Position: 0.013, Epsilon: 0.50798, Q-value: 9.52773205935955
Episode: 125, Reward: -200.0, Max Position: -0.207, Epsilon: 0.50398, Q-value: 2.109359570145607
Episode: 126, Reward: -200.0, Max Position: 0.225, Epsilon: 0.49998, Q-value: 20.962199599146842
Episode: 127, Reward: -200.0, Max Position: -0.255, Epsilon: 0.49598, Q-value: -11.955076831181067
Episode: 128, Reward: -200.0, Max Position: -0.153, Epsilon: 0.49198, Q-value: -1.5432219202816486
Episode: 129, Reward: -200.0, Max Position: -0.348, Epsilon: 0.48798, Q-value: -14.149424988627434
Episode: 130, Reward: -200.0, Max Position: -0.077, Epsilon: 0.48398, Q-value: -1.8120756784826517
Episode: 131, Reward: -200.0, Max Position: -0.392, Epsilon: 0.47998, Q-value: -16.76334268808365
Episode: 132, Reward: -200.0, Max Position: -0.333, Epsilon: 0.47598, Q-value: -13.544799578934908
Episode: 133, Reward: -200.0, Max Position: -0.264, Epsilon: 0.47198, Q-value: -2.79807333946228
Episode: 134, Reward: -200.0, Max Position: -0.386, Epsilon: 0.46798, Q-value: -15.513974315375089
Episode: 135, Reward: -200.0, Max Position: -0.026, Epsilon: 0.46398, Q-value: 5.523593288064003
Episode: 136, Reward: -200.0, Max Position: -0.190, Epsilon: 0.45998, Q-value: -4.746633048653603
Episode: 137, Reward: -200.0, Max Position: -0.119, Epsilon: 0.45598, Q-value: 4.84526179343462
Episode: 138, Reward: -200.0, Max Position: 0.090, Epsilon: 0.45198, Q-value: 2.8557233572006226
Episode: 139, Reward: -200.0, Max Position: 0.009, Epsilon: 0.44798, Q-value: 6.364897260032595
Episode: 140, Reward: -200.0, Max Position: 0.071, Epsilon: 0.44398, Q-value: 7.827623700499535
Episode: 141, Reward: -200.0, Max Position: -0.388, Epsilon: 0.43998, Q-value: -15.000780086517334
Episode: 142, Reward: -200.0, Max Position: -0.393, Epsilon: 0.43598, Q-value: -13.244031464457512
Episode: 143, Reward: -200.0, Max Position: -0.024, Epsilon: 0.43198, Q-value: 2.1740097481012346
Episode: 144, Reward: -200.0, Max Position: -0.029, Epsilon: 0.42798, Q-value: 8.814945676624776
Episode: 145, Reward: -200.0, Max Position: -0.026, Epsilon: 0.42398, Q-value: 5.88856436163187
Episode: 146, Reward: -200.0, Max Position: -0.397, Epsilon: 0.41998, Q-value: -17.18145821094513
Episode: 147, Reward: -200.0, Max Position: -0.221, Epsilon: 0.41598, Q-value: -6.6144139889255165
Episode: 148, Reward: -200.0, Max Position: -0.349, Epsilon: 0.41198, Q-value: -17.119717317409812
Episode: 149, Reward: -84.0, Max Position: 0.522, Epsilon: 0.40812, Q-value: 24.340606217866117
Episode: 150, Reward: -200.0, Max Position: 0.272, Epsilon: 0.40412, Q-value: 15.668912706179544
